comment_id,operation,scope,remove_code,add_code,labeler_id,label_time,problem,message
1012409e_36c4b91c,delete,2,irq 0x70 = 10,NULL,11,7/19/2019 12:30,NULL,The IRQ asserted depends of module inserted?
1012409e_3822e340,insert,3,NULL,static,7,7/15/2019 20:00,NULL,static
1012409e_436a665d,delete,2,curly braces,NULL,7,7/15/2019 13:52,NULL,The curly braces should be removed here too for a single line body.
1012409e_5ef18729,replace,1,size,size_t,11,7/15/2019 8:27,NULL,size_t for size
1012409e_629f936b,replace,1,initializer,struct initializer,11,7/18/2019 3:43,NULL,"This approach usually goes with a struct initializer.

msr_t msr = { 0, 0 };"
1012409e_6fce5c3e,not_enough,0,NULL,NULL,10,7/19/2019 9:07,NULL,"The comment is stale now. '4' is 1 << 2 which is setting bit 2 to 1 and bit 1 being 0. That's the length field:
LENGTH: This field describes the length of this region.
00: 256MB (buses 0-255). Bits 38:28 are decoded in the PCI Express Base Address
Field.
01: 128MB (buses 0-127). Bits 38:27 are decoded in the PCI Express Base Address
Field.
10: 64MB (buses 0-63). Bits 38:26 are decoded in the PCI Express Base Address Field.
11: Reserved.
This register is locked by Intel TXT."
1012409e_9e713a86,replace,1,default configuration,I2C GPIO initialization ,9,7/18/2019 11:19,NULL,I think the default configuration for TPM is I2C. It would be good to do the I2C GPIO initialization for TPM here.
1012409e_b2a6fe1c,replace,1,SPI_BASE_ADDRESS,BAR,7,7/12/2019 13:27,NULL,"There is a BAR, SPI_BASE_ADDRESS is not a constant."
1012409e_cc8dde90,insert,3,NULL,are,7,7/16/2019 17:13,NULL,are
1012409e_cf8dd090,replace,1,preprocessor #if,if (IS_ENABLED(CONFIG_BOARD_AMD_BETTONG)),10,7/18/2019 9:29,NULL,"if (IS_ENABLED(CONFIG_BOARD_AMD_BETTONG)) instead of preprocessor #if.

but I wonder if checking for the board is the right call here, given that this seems to be a per-chipset issue?"
1012409e_d2ad7af9,delete,2,dito,NULL,11,7/24/2019 14:37,NULL,dito
1012409e_e378b234,not_enough,0,NULL,NULL,11,7/24/2019 14:32,NULL,`payloads/libpayload/include/stddef.h` defines `MiB` .
1012409e_f855eb90,not_enough,0,NULL,NULL,10,7/15/2019 6:15,NULL,"When data_size < bsize we're not completely initializing the buffer. Additionally, were' not indicating as that being an error."
1012409e_fd3b27bd,replace,1,not namespaced properly,INTEL_COMMON,9,7/21/2019 19:49,NULL,This is not namespaced properly.
103160ed_6b7a21eb,replace,1,befor,spelling,10,7/12/2019 14:28,NULL,befor*e*
103c0f71_c831c8ef,delete,2,CS,NULL,7,7/12/2019 9:10,NULL,"Why are you setting this twice? You're asserting CS for a microsecond here, which was exactly what I wanted to avoid. Only set it once, to the value you want to initialize to (1)."
104b209e_1baefb2a,replace,1,line,newline,10,7/19/2019 8:04,NULL,It looks like a newline went missing here.
104b209e_5b9fe36a,replace,1,original value,being reset,7,7/18/2019 19:26,NULL,Why is it being reset to the original value here?
104b209e_9b904b58,not_enough,0,NULL,NULL,6,6/28/2019 3:57,NULL,I don't understand this at all. reg_script_display would never be changed within the context of this function.
104b209e_bb938763,delete,2,REG_SCRIPT_DISPLAY_VALUE;,NULL,11,7/24/2019 14:34,NULL,Why provide a bitmask when they both bits are either on or off?
1064002e_00a31010,insert,3,NULL,spaces,11,7/15/2019 4:42,NULL,Add spaces around operators?
1064002e_02c334c1,not_enough,0,NULL,NULL,1,7/4/2019 4:53,NULL,same
1064002e_05adf4aa,insert,3,NULL,resetting,9,7/21/2019 19:19,NULL,resetting
1064002e_0ba4e841,replace,1,80 chars,chars,10,7/19/2019 9:18,NULL,"someone (not me) is going to complain about this going over 80 chars, can you fix before they do so :-)"
1064002e_11e08d27,delete,2,space,NULL,10,7/18/2019 8:49,NULL,Maybe this space shouldn't be before \t here either?
1064002e_1a853de8,replace,1,get rid of this check,assert,11,7/18/2019 7:10,NULL,I think we can get rid of this check since it doesn't help much. Maybe adding an assert here would be more useful?
1064002e_1df1b7f9,delete,2,extra guards,NULL,11,7/17/2019 4:00,NULL,If you made this struct device then you wouldn't need the extra guards.
1064002e_2839ef7b,delete,2,abbreviation,NULL,11,7/17/2019 15:29,NULL,Isn't this one abbreviation as a whole? (NVRAM)
1064002e_2b6c2d28,insert,3,NULL,alignment,10,7/16/2019 6:21,NULL,alignment
1064002e_30edd121,replace,1,fix,fixup,10,7/16/2019 6:52,NULL,This should probably be 'fixup'
1064002e_31fae955,not_enough,0,NULL,NULL,10,7/19/2019 9:04,NULL,Here as well?
1064002e_3812c6c5,insert,3,NULL,wrap,11,7/17/2019 15:36,NULL,wrap
1064002e_388be629,delete,2,cols,NULL,7,7/19/2019 4:07,NULL,> 80 cols
1064002e_3a811989,delete,2,PAD_IOSF_MMIO,NULL,9,7/24/2019 20:08,NULL,This shouldn't be needed at all. We have all the bits we need in the gpio.c to create the address for the pad config.
1064002e_45b7cdcc,delete,2,no parens,NULL,11,7/17/2019 8:49,NULL,space (and no parens)
1064002e_46524060,replace,1,up' and/or ,write-1-to-clear,10,7/19/2019 8:55,NULL,"remove 'up' and/or just say don't clear bits that are write-1-to-clear"""""
1064002e_4691a059,replace,1,multi line comment,single line comment,7,7/15/2019 17:31,NULL,Please use `/* … */` used in other parts of this file.
1064002e_4861cb30,replace,1,Ram,RAM,9,7/18/2019 11:09,NULL,Capitalize here as well?
1064002e_48b1c154,replace,1,BUFFER,lowercase: buffer,10,7/18/2019 9:20,NULL,I’d spell it lowercase: buffer.
1064002e_4a287a22,delete,2,whitespace,NULL,7,7/12/2019 12:11,NULL,adapt whitespace so the header lines up again (ditto for other irq_tables.c)
1064002e_50668d4a,delete,2,space,NULL,8,7/18/2019 18:13,NULL,"Only one space, please."
1064002e_53b16554,delete,2,Ditto,NULL,7,7/15/2019 19:07,NULL,Ditto
1064002e_53b8646d,replace,1,init_required(),display_init_required(),11,7/15/2019 3:19,NULL,display_init_required()
1064002e_581502ad,delete,2,extra blank line,NULL,11,7/17/2019 10:53,NULL,extra blank line?
1064002e_588ea23a,delete,2,cols,NULL,10,7/15/2019 9:25,NULL,line over 80 cols
1064002e_64b14155,delete,2,extra new line,NULL,10,7/19/2019 6:40,NULL,No need for the extra new line.
1064002e_65e769e8,insert,3,NULL,space,10,7/19/2019 7:30,NULL,space
1064002e_678f9ab9,insert,3,NULL,0x00,7,7/12/2019 12:00,NULL,"0x00,"
1064002e_6ba7451b,replace,1,different implementation,reuse the logic,7,7/15/2019 13:33,NULL,All this logic already exists in src/cpu/x86/mtrr/mtrr.c. Please see calc_var_mtrr_range(). You can reuse the logic directly or just pull in the same implementation.
1064002e_700d89da,replace,1,IRQ11 and 0xa is IRQ10,comment or provide macros,11,7/18/2019 7:13,NULL,"so 0xb is IRQ11 and 0xa is IRQ10 ? If so, please comment or provide macros that can be used which are self-explanatory."
1064002e_73fbc1dc,replace,1,subtraction on the local varaible,postcar_fram_add_mtrr() would be on the same line,11,7/24/2019 15:28,NULL,"fwiw, if you did this subtraction on the local varaible your postcar_fram_add_mtrr() would be on the same line. i.e.

top_of_ram -= 16*MiB;"
1064002e_78339eeb,replace,1,recomend,spelling,7,7/18/2019 18:02,NULL,Spelling: recommend
1064002e_7f571aca,insert,3,NULL,#define EC_SMI_GPI GPIO_49,11,7/19/2019 12:09,NULL,"Add this to ec.h with a define:

#define EC_SMI_GPI GPIO_49"
1064002e_831ba592,delete,2,comment,NULL,7,7/15/2019 19:47,NULL,"All these includes aren't needed above this comment, I believe."
1064002e_8522853e,insert,3,NULL,space and tab,11,7/24/2019 15:08,NULL,indent
1064002e_85c1e529,delete,2,space,NULL,11,7/17/2019 15:08,NULL,space?
1064002e_868bb827,insert,3,NULL,comment out symbol,11,7/19/2019 4:59,NULL,Please use `/* */`.
1064002e_884c838e,not_enough,0,NULL,NULL,10,7/18/2019 9:30,NULL,this appears to be unused
1064002e_8ea92125,delete,2,parens,NULL,10,7/19/2019 7:53,NULL,"if (status != FSP_SUCCESS)
  return;"
1064002e_91493d90,insert,3,NULL,IOAPIC,7,7/15/2019 18:07,NULL,IOAPIC?
1064002e_930dbddd,delete,2,extra tab,NULL,10,7/19/2019 8:56,NULL,Some extra tab here?
1064002e_93fddc46,delete,2,google_chromeec_early_init(),NULL,11,7/23/2019 10:05,NULL,This is only called from google_chromeec_early_init(). It shouldn't be exposed publicly I don't think.
1064002e_976008f1,delete,2,any value,NULL,9,7/24/2019 20:43,NULL,"input, no need to set any value"
1064002e_98079a0a,delete,2,80 cols,NULL,9,7/18/2019 11:34,NULL,over 80 cols
1064002e_982e7a82,replace,1,exact date,month,7,7/12/2019 12:01,NULL,Let's just go with a month instead of an exact date.  The next release should be mid to late October.
1064002e_a224004e,replace,1,NW_31_0 ,mapping of gpe,11,7/17/2019 5:07,NULL,This doesn't make much sense. Why would the SW bits only be used. The mapping of gpe to community groups is the real thing. It looks like you are using the wrong values as indicies here. NW_31_0 is not the source of pme.
1064002e_a5c88080,delete,2,copies,NULL,8,7/18/2019 5:18,NULL,copies?
1064002e_a68eb437,insert,3,NULL,southbridge RCBA,7,7/15/2019 19:33,NULL,Set up southbridge RCBA
1064002e_a8069f3f,insert,3,NULL,quoted,11,7/17/2019 8:59,NULL,"Should these be changed to  ""? The text is quoted from the ACPI spec afaict. (Same below)"""
1064002e_a8621ff7,delete,2,space,NULL,9,7/18/2019 8:21,NULL,extra space
1064002e_ab285475,insert,3,NULL,IS_ENALBED,9,7/24/2019 17:33,NULL,can this use if (IS_ENALBED(...))?
1064002e_ab9df4cc,insert,3,NULL,tab,11,7/17/2019 15:21,NULL,Please leave the tab here.
1064002e_b1d38c11,replace,1,err _most_,name change,11,7/24/2019 14:42,NULL,This name change is very irritating... err _most_ what?
1064002e_b1f6f9f2,replace,1,apic,APIC,7,7/15/2019 18:47,NULL,"I know the commit was about APIC, but I noticed this one here not being capitalized."
1064002e_c24bfc21,delete,2,else,NULL,10,7/16/2019 6:09,NULL,"nit: The else isn't required here and should probably be removed.

If it were kept, I believe the return below should be inside braces since the if clause for the else is inside braces.
https://www.coreboot.org/Coding_Style#Placing_Braces_and_Spaces"
1064002e_c865db03,replace,1,only 1 space,PAD_CFG bitmasks,10,7/19/2019 9:09,NULL,this line should come first and be indented only 1 space so it follows the same convention as the other PAD_CFG bitmasks.
1064002e_cb99500d,replace,1,lose bits,first,10,7/12/2019 9:27,NULL,is it ever possible to lose bits because you << first? Should you >> first instead?
1064002e_cba3100c,insert,3,NULL,GPIO,9,7/21/2019 19:49,NULL,GPIO
1064002e_ccbe6fdc,replace,1,coreboot,memory reference code,10,7/12/2019 10:02,NULL,I am curious why coreboot needs to do this now. Previously the memory reference code handled this.
1064002e_d36bb50f,replace,1,previous line,Bracket,10,7/19/2019 7:32,NULL,Bracket should be at the end of the previous line.
1064002e_d4344801,insert,3,NULL,EEPROM,11,7/17/2019 8:53,NULL,"This enum should be added to the flash driver since that's what media this is defining. Or add EEPROM to the flash driver.

Also, these are named rather generically and will likely cause clashes in the global namespace."
1064002e_d4cf11ba,not_enough,0,NULL,NULL,7,7/15/2019 20:07,NULL,Can you please elaborate on that difference?
1064002e_d8111247,not_enough,0,NULL,NULL,7,7/16/2019 19:38,NULL,Why was 16MiB chosen?
1064002e_dc212194,replace,1,different comments,"/* Read index 0, first SPD_SIZE bytes of spd.bin file. */",10,7/19/2019 6:16,NULL,"In `src/mainboard/pcengines/apu1/BiosCallOuts.c` the comment is:

```
/* Read index 0, first SPD_SIZE bytes of spd.bin file. */
```

It would be nice to keep the comments the same, that means update it in the other file too."
1064002e_e1270d51,insert,3,NULL,error message,7,7/12/2019 9:36,NULL,Maybe an error message here would be useful?
1064002e_e5a9d89e,insert,3,NULL,keeping,1,6/27/2019 11:08,NULL,keeping
1064002e_e72ef330,delete,2,one sentence,NULL,11,7/18/2019 3:37,NULL,Is that supposed to be one sentence?
1064002e_f49ce4fe,insert,3,NULL,Program MCHBAR and DMIBAR,7,7/18/2019 18:01,NULL,Maybe use *Program MCHBAR and DMIBAR* to match the style below.
1064002e_f5322b30,replace,1,SoCs set this to a bare -1,~0ULL or -1LL,10,7/16/2019 6:53,NULL,"I know the other SoCs set this to a bare -1, but I don't think it's correct. I suggest ~0ULL or -1LL because this field is 64-bit."
1064002e_fcadf8f8,insert,3,NULL,debug,7,7/15/2019 17:08,NULL,"I’d leave that with debug, but it’s very subjective."
1075b843_eb6dd19a,not_enough,0,NULL,NULL,11,7/24/2019 15:18,NULL,"this is fine, btw, but you could have just done:

if (IS_ENABLED(...))
  prot_impl = ~port_impl;

port_impl &= 0x7;"
107880b1_2d7521be,insert,3,NULL,AGESA,10,7/12/2019 10:36,NULL,AGESA?
107880b1_56a032ad,replace,1,uint16_t,size_t,10,7/19/2019 7:07,NULL,Why uint16_t and not just size_t ?
107880b1_b985f72c,delete,2,lines.,NULL,10,7/19/2019 8:22,NULL,"bootmode.c wraps this include with: #if CONFIG_CHROMEOS || CONFIG_VBOOT_VERIFY_FIRMWARE

I think it would be more consistent to either apply that wrapping to this introduction too, or to let it go in both places.

Either way, this include doesn't look strictly necessary, since nothing in bootmode.h refers to anything from vendorcode/google/chromeos/chromeos.h."
107880b1_f9cfef34,delete,2,vbho == NULL,NULL,9,7/18/2019 11:33,NULL,ret already tails you it is a failure.
10af9ae8_67b59b2d,replace,1,ESPI,#if IS_ENABLED(CONFIG_SOC_ESPI),9,7/18/2019 8:30,NULL,"Shouldn't this be:
#if IS_ENABLED(CONFIG_SOC_ESPI)"
10cde04f_ab85892c,replace,1,fixed strings,CONFIG_CBFS_PREFIX,7,7/18/2019 17:57,NULL,These fixed strings are incorrect. CONFIG_CBFS_PREFIX is the correct one.
10e366f9_c0a66aa1,delete,2,2 tabs,NULL,10,7/18/2019 9:37,NULL,"2 tabs not needed for indent. Only one. Also can you please put a space after { and before } And can you use c99 initializers?

{ .field1 = value1, .field2 = value2 }"
10e7a0fc_1bb9bbf4,not_enough,0,NULL,NULL,11,7/17/2019 10:58,NULL,*against* what?
10e7a0fc_bb6287f7,insert,3,NULL,devices,10,7/19/2019 8:18,NULL,devices
10e7a0fc_fb5c0f3c,insert,3,NULL,characters,10,7/18/2019 9:32,NULL,ot
10f9608e_0b399d7b,delete,2,space,NULL,10,7/15/2019 6:08,NULL,Is this a space then a tab? same for line below.
10f9608e_71f010f6,delete,2,number,NULL,11,7/15/2019 8:26,NULL,This 6k comment could be come stale. Just remove the number and note it can fit in gvd1.
10f9608e_d194641b,replace,1,S3 resume path,romstage_handoff,7,7/18/2019 17:56,NULL,"Actually... this is not entirely correct.

For AMD AGESA, cbmem is available in romstage, but only for S3 resume path. Then again, those boards do not yet utilise romstage_handoff."
10f9608e_f4f34e7c,not_enough,0,NULL,NULL,11,7/15/2019 13:30,NULL,You also need to check again stage_id == STAGE_RAMSTAGE
112249d8_98552ca6,insert,3,NULL,ARB_USER_EN,9,7/18/2019 12:07,NULL,...and definitely here.
11a55e22_031fb4f7,insert,3,NULL,bracket,11,7/19/2019 9:36,NULL,align with opening (
11bd694a_5dbf533e,insert,3,NULL,space,7,7/24/2019 20:20,NULL,Add a space after the { like above?
11bdd2a9_b87b6724,insert,3,NULL,Divide by 1,7,7/24/2019 20:29,NULL,Makes no sense. Divide by 1 result is the original number.
11f45145_4da46c9b,not_enough,0,NULL,NULL,9,7/24/2019 17:49,NULL,power on after power fail assumes power loss in s0. What abou power loss in s5?
12104fd4_c39dca87,insert,3,NULL,.read_resources,11,7/18/2019 2:50,NULL,"Why is this not part of .read_resources? Don't we want to know about
conflicts?"
1221b544_360e29aa,insert,3,NULL,const,10,7/16/2019 6:29,NULL,const
1287b158_e06c4e92,delete,2,braces,NULL,10,7/18/2019 9:20,NULL,braces {} are not necessary for single statement blocks
12938db5_80c7b974,insert,3,NULL,spaces,10,7/19/2019 8:56,NULL,Please add spaces after { and beofre }
12bdb440_d31e8f7b,not_enough,0,NULL,NULL,10,7/12/2019 13:17,NULL,remove this
12c03dda_c021ed8f,replace,1,uintptr_t,API symmetrical,11,7/14/2019 14:20,NULL,So we're reutrning a uintptr_t but setting it with a void *. Why isn't the API symmetrical?
136145f5_20223ba3,insert,3,NULL,variant,11,7/18/2019 2:39,NULL,variant
13767fcd_97457dde,replace,1,v1.9.1,v1.10,10,7/19/2019 7:12,NULL,Please change v1.9.1 to v1.10
13fa78bb_3f160fed,insert,3,NULL,space,11,7/18/2019 3:59,NULL,Missing space before the `*/`.
1587d398_b4a40604,delete,2,rdev_readat(),NULL,10,7/18/2019 8:59,NULL,remove when using rdev_readat()
161e1860_e2333416,replace,1,commit,separate commit,11,7/18/2019 2:45,NULL,This should be done in a separate commit.
163b9ade_b52c62b9,delete,2,Extra line,NULL,11,7/15/2019 13:05,NULL,Extra line
16e0b3e4_1794e1dc,insert,3,NULL,space,9,7/18/2019 18:45,NULL,nit: add space
1722dc18_998c1aff,delete,2,return value,NULL,9,7/24/2019 20:31,NULL,This is the wrong return value. 0 is success.
1753f879_cda7adde,delete,2,characters,NULL,10,7/15/2019 6:41,NULL,Same in the other file
179968d8_789b18d9,insert,3,NULL,clarify the differences,7,7/15/2019 14:44,NULL,"Missed this earlier, but perhaps clarify the differences between these. (IVB GT1 and IVB GT2)"
17b34b4f_397e9066,delete,2,cases,NULL,10,7/16/2019 6:30,NULL,these cases are unnecessary as they fall through to the default case
17ef23cf_db9113af,delete,2,acpi_write_hpet,NULL,7,7/14/2019 4:23,NULL,acpi_write_hpet is already doing the align. Do we still need this?
181cfe77_80d0052d,replace,1,default asserts,assert as a printk,10,7/19/2019 7:12,NULL,"This won't change anything because by default asserts aren't fatal in coreboot.  In general, think of assert as a printk.

If you want to fix the scan-build error, you'll need to return or die or something if it's outside the valid range."
1959eec8_ce605c49,insert,3,NULL,receive,7,7/15/2019 19:42,NULL,receive
19e516af_b041cd5a,delete,2,40mV,NULL,7,7/16/2019 18:48,NULL,by 40mV?
1a4dcd0f_1b1a5b18,replace,1,cmos.layout exposed,enum,9,7/12/2019 12:11,NULL,"It might be worthwhile to note you are defaulting to AHCI mode. On that note, maybe add an enum. Then it would be self describing here and below. Better yet, are those names in cmos.layout exposed when compiling coreboot?"
1a4dcd0f_1ce9df1a,delete,2,spaces,NULL,7,7/24/2019 20:17,NULL,"Too many spaces, so it is not aligned correctly."
1a4dcd0f_473481dd,insert,3,NULL,run superiotool,11,7/18/2019 4:36,NULL,Verifying the product ID is easy. Just run superiotool and see if it properly detects your F71869AD.
1a4dcd0f_4d17bba3,not_enough,0,NULL,NULL,10,7/15/2019 9:30,NULL,Can you check if the fintek chip is used for the HW monitor or if the IMC inside SB is used?
1a4dcd0f_9ba42b09,delete,2,Dito,NULL,10,7/19/2019 8:57,NULL,Dito.
1a4dcd0f_d3936aa2,insert,3,NULL,addr,11,7/19/2019 12:37,NULL,device or should we use `addr` as above?
1a7b0d38_4b8905ca,insert,3,NULL,pnp_devfn_t,10,7/15/2019 6:12,NULL,should be pnp_devfn_t
1a92983c_059187ac,insert,3,NULL,comment,7,7/14/2019 4:24,NULL,Can you please add a comment indicating this has to be one of the EV_ACT_* enums above?
1ab5080c_f5ab7544,insert,3,NULL,space,7,7/19/2019 4:53,NULL,"(foo*)"" should be ""(foo *)"""""
